latitude;longitude;species
39.511667;-7.501667;2480506
39.511667;-7.501667;5228228
39.511667;-7.501667;2480506
39.511667;-7.501667;5844449
39.593288;-7.524068;5228228
39.593288;-7.524068;2474921
39.593288;-7.524068;2480685
39.593288;-7.524068;2487883
39.593288;-7.524068;2495000
39.593288;-7.524068;2475365
39.511667;-7.501667;2475365
39.511667;-7.501667;8109681
39.511667;-7.501667;2480372
39.593288;-7.524068;5959092
39.593288;-7.524068;2480685
39.642959;-7.687376;2480389
39.056051;-7.912044;8095051
39.056051;-7.912044;2475443
39.056051;-7.912044;2484916
39.056051;-7.912044;2492962
39.056051;-7.912044;2493214
39.056051;-7.912044;7806848
39.056051;-7.912044;5231438
39.056051;-7.912044;7626513
37.0316;-7.9948;5231918
37.0316;-7.9948;5230791
37.0316;-7.9948;7634625
37.0316;-7.9948;2475532
37.0316;-7.9948;2475443
37.0316;-7.9948;2490313
37.0316;-7.9948;2493660
37.0316;-7.9948;2489214
37.133822;-8.617315;8097467
37.0316;-7.9948;2492822
37.133822;-8.617315;2494686
37.133822;-8.617315;2493660
37.0316;-7.9948;2494200
37.0316;-7.9948;2492867
37.0316;-7.9948;2494686
37.0316;-7.9948;2492962
37.0316;-7.9948;2490719
37.133822;-8.617315;5230791
37.0316;-7.9948;2495708
37.133822;-8.617315;2490719
37.133822;-8.617315;2490313
37.133822;-8.617315;7634625
37.0316;-7.9948;5231198
37.133822;-8.617315;5228676
37.133822;-8.617315;2475443
37.133822;-8.617315;5845582
37.133822;-8.617315;2490669
37.133822;-8.617315;5231198
37.133822;-8.617315;2492822
37.133822;-8.617315;5228695
37.158128;-8.614397;2489214
37.133822;-8.617315;2492962
37.158128;-8.614397;6095119
37.133822;-8.617315;5231190
37.133822;-8.617315;2490681
37.133822;-8.617315;7341500
37.133822;-8.617315;8095051
37.133822;-8.617315;2497266
38.39677;-8.154817;5229490
38.39677;-8.154817;5228228
38.678274;-8.45458;5228695
38.678274;-8.45458;2489214
38.348253;-8.041005;5229490
38.287781;-8.046627;5230791
38.287781;-8.046627;7341500
38.287781;-8.046627;2492867
38.167225;-7.893848;5230791
38.167225;-7.893848;2480537
38.348253;-8.041005;2492867
38.287781;-8.046627;2494200
37.726228;-8.339803;2494686
37.726228;-8.339803;2494686
37.726228;-8.339803;5230791
37.726228;-8.339803;2489214
38.678274;-8.45458;5228695
37.726228;-8.339803;2493128
37.726228;-8.339803;2493128
37.726228;-8.339803;5230791
38.496594;-8.160953;5229493
37.495427;-8.481595;2480537
38.583566;-8.287275;2480537
38.39677;-8.154817;5229490
37.255746;-8.292661;2489214
37.166062;-8.257341;2489214
37.166062;-8.257341;5228695
37.166062;-8.257341;5228695
37.018524;-7.940448;5231190
37.018524;-7.940448;2489214
37.166062;-8.257341;2489214
37.939297;-8.37862;4408759
39.507026;-7.665843;2496464
39.400857;-7.779826;6095119
39.400857;-7.779826;5231918
39.400857;-7.779826;5231235
39.056051;-7.912044;5229167
39.056051;-7.912044;2487879
39.056051;-7.912044;2493012
39.056051;-7.912044;2489214
39.056051;-7.912044;2475532
39.056051;-7.912044;7660710
39.056051;-7.912044;5230791
39.056051;-7.912044;2474156
39.056051;-7.912044;7634625
39.056051;-7.912044;5228676
39.056051;-7.912044;2492962
39.056051;-7.912044;2494200
39.056051;-7.912044;4408796
39.056051;-7.912044;2490310
39.056051;-7.912044;5229168
39.056051;-7.912044;2490298
39.056051;-7.912044;5229490
39.056051;-7.912044;2489104
39.056051;-7.912044;2494686
39.056051;-7.912044;2490719
39.056051;-7.912044;6095119
37.702049;-8.085147;5228228
37.702049;-8.085147;4408796
37.702049;-8.085147;5231235
37.702049;-8.085147;2481042
37.702049;-8.085147;2490604
37.702049;-8.085147;2480495
37.702049;-8.085147;2474156
37.702049;-8.085147;2492959
37.702049;-8.085147;5231209
38.099577;-8.789835;2493551
38.099577;-8.789835;2489160
38.099577;-8.789835;2490313
38.582862;-8.672032;2493128
38.099577;-8.789835;2480482
37.702049;-8.085147;2480537
37.702049;-8.085147;2480495
37.702049;-8.085147;5229167
37.702049;-8.085147;2474921
37.702049;-8.085147;5228228
38.476237;-9.029775;5228695
37.640403;-7.661548;2482473
37.640403;-7.661548;2481057
38.476237;-9.029775;2487883
37.700643;-7.76315;5229165
37.700643;-7.76315;5229167
37.700643;-7.76315;2480537
37.700643;-7.76315;5229168
37.700643;-7.76315;2480389
41.026522;-6.940852;2488949
41.026522;-6.940852;2480637
41.620226;-6.276203;2474156
41.500992;-6.273622;5228676
41.620226;-6.276203;5231198
41.500992;-6.273622;5228684
41.500992;-6.273622;2489214
41.500992;-6.273622;2488949
41.500992;-6.273622;2489104
38.395626;-8.655896;2490667
38.420444;-7.3208;5229490
38.420444;-7.3208;5228228
38.420444;-7.3208;2496464
38.808948;-8.918066;8109681
38.808948;-8.918066;2497921
38.808948;-8.918066;2497306
38.276441;-7.905157;2489160
38.276441;-7.905157;5228695
37.133822;-8.617315;2475443
37.133822;-8.617315;5231190
37.133822;-8.617315;2489214
37.133822;-8.617315;2490313
37.133822;-8.617315;7634625
37.133822;-8.617315;2490719
37.133822;-8.617315;2490669
37.133822;-8.617315;2490681
37.133822;-8.617315;5845582
37.133822;-8.617315;8097467
37.133822;-8.617315;2493660
37.133822;-8.617315;2494200
37.133822;-8.617315;2494686
37.133822;-8.617315;2492822
37.133822;-8.617315;2492962
37.133822;-8.617315;5228695
37.133822;-8.617315;2480726
38.475934;-8.983394;5228695
38.709458;-9.485836;5739315
38.460699;-8.7881;2489160
38.460699;-8.7881;5844936
38.460699;-8.7881;5230791
38.460699;-8.7881;5231918
38.460699;-8.7881;5228676
38.460699;-8.7881;2490719
38.460699;-8.7881;7626513
38.460699;-8.7881;7634625
38.460699;-8.7881;2487879
38.460699;-8.7881;2475443
38.460699;-8.7881;2489214
38.460699;-8.7881;7660710
38.460699;-8.7881;2482501
38.460699;-8.7881;2494686
38.460699;-8.7881;8097467
38.460699;-8.7881;2487883
38.460699;-8.7881;2490313
38.460699;-8.7881;2493660
38.460699;-8.7881;5845582
38.460699;-8.7881;2493012
38.460699;-8.7881;5231198
38.460699;-8.7881;5228695
38.460699;-8.7881;2493128
38.460699;-8.7881;2484916
38.460699;-8.7881;5231190
38.460699;-8.7881;2492962
38.460699;-8.7881;2494200
38.460699;-8.7881;2494708
38.460699;-8.7881;2495708
38.460699;-8.7881;2477968
38.460699;-8.7881;7806848
38.460699;-8.7881;2493214
38.460699;-8.7881;7341500
38.460699;-8.7881;2492822
38.460699;-8.7881;2489104
38.460699;-8.7881;2490604
38.460699;-8.7881;5231438
38.460699;-8.7881;2480482
38.460699;-8.7881;2492867
38.460699;-8.7881;4408759
37.133822;-8.617315;5230791
37.133822;-8.617315;5228684
37.702049;-8.085147;5231190
37.702049;-8.085147;2490274
37.702049;-8.085147;2480495
38.008607;-7.872562;5228695
37.702049;-8.085147;2490669
37.702049;-8.085147;2494686
37.702049;-8.085147;7806848
37.702049;-8.085147;5228228
37.702049;-8.085147;5845582
37.702049;-8.085147;2496464
38.008607;-7.872562;2489214
37.702049;-8.085147;2489104
37.702049;-8.085147;2497266
37.702049;-8.085147;6095119
37.702049;-8.085147;4408759
37.702049;-8.085147;8095051
37.702049;-8.085147;7341500
37.702049;-8.085147;2492867
37.702049;-8.085147;2493128
37.702049;-8.085147;2492822
38.177737;-7.062229;2490955
38.177737;-7.062229;2492867
38.177737;-7.062229;6095119
38.177737;-7.062229;7806848
38.177737;-7.062229;2492350
38.177737;-7.062229;5230791
38.177737;-7.062229;2482492
38.177737;-7.062229;2484916
37.702049;-8.085147;5844936
37.702049;-8.085147;2480537
37.702049;-8.085147;2497921
37.702049;-8.085147;2487879
37.702049;-8.085147;8097467
37.702049;-8.085147;5230791
37.702049;-8.085147;2474156
37.702049;-8.085147;2489214
37.702049;-8.085147;5231235
37.702049;-8.085147;5229167
37.7198;-8.784599;2489214
37.7198;-8.784599;2482473
37.7198;-8.784599;2482501
37.7198;-8.784599;5230791
37.7198;-8.784599;2492956
37.7198;-8.784599;2494686
37.7198;-8.784599;5845582
37.7198;-8.784599;7634625
37.7198;-8.784599;2493012
37.7198;-8.784599;2494200
37.7198;-8.784599;2494708
37.7198;-8.784599;5231190
37.7198;-8.784599;2492822
37.7198;-8.784599;2481042
37.7198;-8.784599;4408759
38.952351;-8.543297;2480685
38.952351;-8.543297;2489160
38.952351;-8.543297;2475443
38.952351;-8.543297;2495708
38.952351;-8.543297;2497921
38.952351;-8.543297;2474156
38.952351;-8.543297;5228676
38.952351;-8.543297;5229493
38.952351;-8.543297;2489214
38.952351;-8.543297;7806848
39.382279;-8.534059;2493012
39.382279;-8.534059;5230791
39.382279;-8.534059;5229167
39.382279;-8.534059;2489214
39.382279;-8.534059;8097467
39.382279;-8.534059;7660710
39.382279;-8.534059;2492956
39.382279;-8.534059;5231918
39.382279;-8.534059;2487879
39.382279;-8.534059;8095051
39.382279;-8.534059;2490719
39.382279;-8.534059;2497496
39.382279;-8.534059;2495708
39.382279;-8.534059;2474156
39.382279;-8.534059;2493660
39.382279;-8.534059;2489104
39.382279;-8.534059;5231190
39.382279;-8.534059;5231198
39.382279;-8.534059;5845582
39.382279;-8.534059;2493128
39.382279;-8.534059;7806848
39.382279;-8.534059;2493118
39.382279;-8.534059;2494200
39.382279;-8.534059;2494686
39.382279;-8.534059;2495000
39.382279;-8.534059;2492962
39.382279;-8.534059;4408759
39.382279;-8.534059;5231438
